text,label,source,dataset,nb_annotators,tweet_id,post_author_country_location

"@USER Te sorprendería, ceporra,  la cantidad de gente ""no monja"" (incluso ateos, qué cosas!) que dejan la misma cantidad o nada. Las tonterías que inventas para llamar la atención, payasa.",1.0,Twitter,misocorpus,3,1206863235510677505,Spain
@USER Loca del coño!,1.0,Twitter,misocorpus,3,1207066564312420352,Spain
"@USER 40 años de terrorismo.
800 asesinatos cometidos por  terroristas vascos.
Silencio cómplice de la mayoría de los vascos  y homenajes a etarras  a dia de hoy.
¿ Hay que boicotear los productos de tu tierra, payasa?",1.0,Twitter,misocorpus,3,1206323918639960064,Spain
@USER Según he escuchado por las cantinas y los bares... más que loba usted es un poco zorra.,1.0,Twitter,misocorpus,3,1205686701412290560,Spain
@USER Si claro jajajajajajaj ajaj loca del coño,1.0,Twitter,misocorpus,3,1237356654196293633,Spain
"@USER @USER Jajaja, mira que eres patética, como se nota que no tienes nada de demócrata!",1.0,Twitter,misocorpus,3,1234215596264448010,Spain
@USER Patética!!. Que pena de señora,1.0,Twitter,misocorpus,3,1239610333968375808,Spain
"@USER Además de lerda, portera. Una joya. 
Que te irás de este mundo, quiera Dios dentro de muchos años, sin haber vivido la inteligencia en tu puta vida lo sabe Cristo. 
#LasChicasDeBambiyElSigloDeLasLerdas.",1.0,Twitter,misocorpus,3,1206930917505277952,Spain
@USER @USER @USER Eres una loca,1.0,Twitter,misocorpus,3,1205920973008097287,Spain
@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Eres una puta cerda,1.0,Twitter,misocorpus,3,1206979371522805760,Spain
"@USER Porque son doble moral, realmente son sumisas las feminazis",1.0,Twitter,misocorpus,3,1210403164589101057,Ecuador
@USER Que Jartera estas Feminazis ??‍♀️??‍♀️??‍♀️??‍♀️,1.0,Twitter,misocorpus,3,1210289035236823041,Colombia
@USER @USER Salvemos  una nueva  víctima  de  le feminazi  retweeteando esto.,1.0,Twitter,misocorpus,3,1209292110278647808,Italy
@USER Jajajajja se pasan estas feminazis cierto? Jajajaja,1.0,Twitter,misocorpus,3,1209828371791831040,Ecuador
@USER @USER @USER @USER EXCELENTE BIEN DICHO!!!! y q mejor q Venga de otra mujer pa q no se haga la ofendida....la verdad es q leí el hilo xq pensé q había algo mejorcito pero ha sido feminazi tons lo q ud dijo lo pensé p x respeto no escribí GRACIAS X EXPRESARSE X NOSOTROS LOS ABUSADORES jajajaja,1.0,Twitter,misocorpus,3,1209983209674563587,Ecuador
Esa del saco verde (la que hace el solo de baile) es la feminazi más cuerda que he visto. LINK,1.0,Twitter,misocorpus,3,1202395870307782656,Colombia
"@USER Un tipo se recibió en la Siglo XXI y se disfrazó de feminazi asesinada, un disfraz un poco grotesco quizás, pero lleno de humor negro. Y como no podía ser distinto, las feminazis y sus mascotas quieren que lo azoten en la plaza, le quiten el título y lo adoctrinen.",1.0,Twitter,misocorpus,3,1206965701623341056,Argentina
"La feminazis dicen que el #Temblor fue culpa de los hombres y la mamertada que de @USER , que se definan que no queremos autorias compartidas.

#Temblo",1.0,Twitter,misocorpus,3,1209617936916332544,Colombia
Es violencia de género. Espero q le saquen su canción las feminazis. LINK,1.0,Twitter,misocorpus,3,1212411879542407175,"Venezuela, Bolivarian Republic of"
@USER Con que no sea feminazi suficiente.,1.0,Twitter,misocorpus,3,1205559072415727617,Guatemala
Feminazi de mierda LINK,1.0,Twitter,misocorpus,3,1209121190004117504,Argentina
resentidos sociales feminazis pro abortos veronika mendoza acomplejados ideología de género porquerías marxistas dejen a los reyes comer pastel en paz quien los manda a ser pobres LINK,1.0,Twitter,misocorpus,3,1207325074795225089,Peru
"@USER @USER @USER A mi me  seducen las mentes brillantes de una mujer 
me seduce su  inteligencia , me seduce su cara bonita  y un cuerpo bonito. 
cuando veo que hay una mente
que los mueve que vale la pena
conocer, y  admirar.""
Pero las FEMINAZIS es todo lo contrario",1.0,Twitter,misocorpus,3,1210409605525901312,Ecuador
Estas locas feminazis van a lograr lo que nadie ha logrado jamás. Llegan aquí a quemar banderas de #Bsc #Cse y #LDU y van a lograr que las 3 barras bravas se unan en un objetivo común. LINK,1.0,Twitter,misocorpus,3,1210426117326286849,Ecuador
Continúan las feminazi hostigando a los carabineros en diversas comisarías con su zumba insoportable. Les acompañan flaites y típicos encapuchados que luego comienzan a atacar las comisarías con pedradas y no faltan los narcos que aparecen con armamento automático. ¿Hasta cuándo?,1.0,Twitter,misocorpus,3,1204545596117463040,Chile
"@USER Jajajaja 
Es que siempre se debe tener en cuenta el contexto de la situación!!
Pero noooo ellas nooo, por algo les dicen feminazis!!! LINK",1.0,Twitter,misocorpus,3,1213837226397831168,Colombia
